category,rep,ax_mean,ax_std,ax_min,ax_max,ax_q5,ax_q10,ax_q90,ax_q95,ax_energy,ax_power,ax_rms,ax_energy_ac,ax_power_ac,ax_rms_ac,ax_skewness,ax_kurtosis,ay_mean,ay_std,ay_min,ay_max,ay_q5,ay_q10,ay_q90,ay_q95,ay_energy,ay_power,ay_rms,ay_energy_ac,ay_power_ac,ay_rms_ac,ay_skewness,ay_kurtosis,az_mean,az_std,az_min,az_max,az_q5,az_q10,az_q90,az_q95,az_energy,az_power,az_rms,az_energy_ac,az_power_ac,az_rms_ac,az_skewness,az_kurtosis,gx_mean,gx_std,gx_min,gx_max,gx_q5,gx_q10,gx_q90,gx_q95,gx_energy,gx_power,gx_rms,gx_energy_ac,gx_power_ac,gx_rms_ac,gx_skewness,gx_kurtosis,gy_mean,gy_std,gy_min,gy_max,gy_q5,gy_q10,gy_q90,gy_q95,gy_energy,gy_power,gy_rms,gy_energy_ac,gy_power_ac,gy_rms_ac,gy_skewness,gy_kurtosis,gz_mean,gz_std,gz_min,gz_max,gz_q5,gz_q10,gz_q90,gz_q95,gz_energy,gz_power,gz_rms,gz_energy_ac,gz_power_ac,gz_rms_ac,gz_skewness,gz_kurtosis,emg_mean,emg_std,emg_min,emg_max,emg_q5,emg_q10,emg_q90,emg_q95,emg_energy,emg_power,emg_rms,emg_energy_ac,emg_power_ac,emg_rms_ac,emg_skewness,emg_kurtosis
svolta,5,0.05800450000000001,0.04371505009433251,-0.172,0.50725,0.0445,0.04575,0.05925,0.06026249999999999,0.052755276250000004,0.005275527625,0.07263282746114184,0.0191100560475,0.00191100560475,0.0437150500943325,6.108468159877525,48.46392940458783,-0.00039124999999999897,0.04500274142691195,-0.413,0.31925,-0.0402625,-0.006024999999999999,0.01,0.0125,0.020253998125,0.0020253998124999998,0.04500444214185973,0.020252467359374998,0.0020252467359375,0.045002741426911984,-2.9793088712852898,38.559985876213496,-0.242792,0.02716469189959646,-0.407,-0.00525,-0.252,-0.248775,-0.24025,-0.238,0.5968587575,0.05968587574999999,0.2443069293941537,0.0073792048599999995,0.000737920486,0.02716469189959643,2.948745910918313,36.56315392035693,-0.0009518674999999999,0.009886594470984125,-0.0992735,0.03775,-0.0021070250000000002,-0.0014650000000000002,0.0018981000000000013,0.0037839999999999996,0.0009865080197125002,9.865080197125001e-05,0.00993231100858456,0.0009774475023369374,9.774475023369375e-05,0.009886594470984118,-5.406698634982517,40.034197432077946,0.0006906745000000001,0.009246848635172982,-0.0598145,0.090729,-0.002961525,-0.0014650000000000002,0.0017730500000000008,0.002900524999999999,0.0008598124094675,8.598124094675e-05,0.009272607019967469,0.0008550420968179974,8.550420968179974e-05,0.009246848635172944,4.759661091957702,48.57056948321303,0.004615391500000001,0.030408605723865147,-0.022583,0.254822,-0.001709,-0.0009459999999999999,0.0012815,0.0017410249999999985,0.0094598514076775,0.00094598514076775,0.030756871439854703,0.009246833020694775,0.0009246833020694775,0.03040860572386504,6.685301019241701,44.76176845841184,0.4577223443223444,0.057985719026094985,0.04224664224664225,0.7274725274725274,0.37605616605616604,0.39829059829059826,0.5128205128205128,0.5365079365079365,2.1287208810291594,0.21287208810291594,0.4613806325615716,0.033623436109732084,0.0033623436109732085,0.05798571902609476,-0.7553925771707405,7.327392085749086
svolta,6,0.032675499999999996,0.04910889506749241,-0.173,0.49075,0.0077375000000000005,0.0115,0.034,0.03475,0.03479371875,0.003479371875,0.05898620071677782,0.024116835747500003,0.00241168357475,0.04910889506749261,5.590196765472912,36.667395769417254,-0.005900750000000001,0.046159203707792834,-0.49325,0.313,-0.011012499999999998,-0.00675,0.00075,0.00225,0.021654909375,0.0021654909375,0.046534835741624786,0.021306720869375,0.0021306720869375,0.04615920370779266,-3.8396890575046863,51.6300907494562,-0.24777949999999999,0.03188999458686069,-0.43125,0.08525,-0.25625,-0.25375,-0.246,-0.24475,0.6241165237499999,0.062411652374999994,0.24982324226340508,0.010169717547499998,0.0010169717547499999,0.03188999458686062,3.585153973699284,47.97494257728487,-0.0012902834999999999,0.01218487116831274,-0.11987300000000001,0.07177750000000001,-0.0017410249999999998,-0.001251,0.0011595,0.0018050749999999958,0.0015013591689874998,0.00015013591689874998,0.012252996241685132,0.0014847108538837772,0.00014847108538837772,0.012184871168312685,-5.43876994971232,44.73148838912805,0.000520194,0.011262682412878602,-0.0582275,0.11792,-0.0021360000000000003,-0.0014039999999999999,0.000824,0.0012845749999999972,0.00127118616931,0.000127118616931,0.01127468921660371,0.00126848015133364,0.000126848015133364,0.011262682412878559,6.449416163778852,65.61097558949177,0.0039620715,0.030208103233662957,-0.033569499999999995,0.28497300000000003,-0.0010740999999999997,-0.0006105,0.000763,0.0011899999999999999,0.0092822751154675,0.00092822751154675,0.030466826410815256,0.009125295009756378,0.0009125295009756378,0.030208103233662947,7.389550518746279,55.993877010472076,0.45833450549450555,0.06105309001128753,0.026373626373626374,0.7931623931623931,0.37313797313797314,0.39755799755799753,0.514041514041514,0.5384737484737483,2.1379799872681926,0.21379799872681926,0.4623829567867086,0.03727479799926352,0.003727479799926352,0.06105309001128732,-0.4046281394488576,7.208808854238777
svolta,7,0.05159999999999999,0.03991259199801482,-0.0625,0.423,0.043,0.04375,0.04825,0.0515,0.042555749999999996,0.004255574999999999,0.06523476833713751,0.01593015,0.0015930150000000001,0.03991259199801486,6.2351403130289675,42.523695555203,-0.016892749999999998,0.03705422121617872,-0.33475,0.29325,-0.026524999999999996,-0.019,-0.0105,-0.008987500000000011,0.016583803125,0.0016583803125000001,0.04072321589093868,0.013730153099375003,0.0013730153099375004,0.0370542212161786,-1.9748858114027656,42.45699164395636,-0.24428875,0.024366404862792044,-0.42725,-0.05675,-0.2505,-0.24875,-0.24275,-0.24022500000000002,0.6027071506249999,0.060270715062499994,0.24550094717230722,0.0059372168593749995,0.0005937216859374999,0.02436640486279213,2.094131830972873,36.18506021268772,-0.0012960144999999998,0.007944783299973614,-0.082428,0.0151365,-0.002075,-0.0013735,0.0008575500000000007,0.0019835,0.0006479923526775,6.479923526775e-05,0.008049797219045335,0.0006311958168353975,6.311958168353974e-05,0.007944783299973621,-6.368714451116629,45.99001864653103,0.0005072665,0.00873059382534933,-0.0677185,0.0828245,-0.002578749999999999,-0.000885,0.0009459999999999999,0.0018355749999999958,0.0007648058784525001,7.648058784525002e-05,0.008745318052835472,0.0007622326854322774,7.622326854322774e-05,0.008730593825349324,2.541016848142916,46.21601061778143,0.0042091785,0.028146025426938857,-0.0236815,0.2267455,-0.0012525249999999998,-0.000824,0.0008575500000000007,0.0016510499999999972,0.0080991593097875,0.00080991593097875,0.028459021961036363,0.007921987473338877,0.0007921987473338877,0.02814602542693884,6.61274099542484,43.755870029116366,0.45766561660561667,0.059328590955129726,0.04297924297924298,0.756043956043956,0.36923076923076925,0.3963369963369963,0.518925518925519,0.5406715506715505,2.1297769832772033,0.21297769832772034,0.46149506858440026,0.03519881704721056,0.003519881704721056,0.05932859095512935,-0.9056978101442232,6.6267275757644395
svolta,8,0.04281275,0.027447176538535022,-0.008,0.27175,0.033,0.0345,0.042,0.043,0.025862790625,0.0025862790625,0.05085547229649922,0.007533474999375,0.0007533474999375001,0.02744717653853489,5.757102110482003,34.879295176392425,-0.042597,0.0280952592264246,-0.235,0.1835,-0.0667625,-0.045774999999999996,-0.03675,-0.03525,0.026038480000000003,0.002603848,0.051027913929534686,0.007893435910000001,0.0007893435910000001,0.02809525922642466,0.33724719569498207,29.777881852680217,-0.24284275,0.020272612928221717,-0.37575,-0.1155,-0.2492625,-0.248,-0.241,-0.23822500000000002,0.593835800625,0.0593835800625,0.24368746390099758,0.004109788349374999,0.0004109788349374999,0.020272612928221658,1.3055150553176118,25.387917477774693,-0.0010160235,0.00613716634165948,-0.055633499999999995,0.0086975,-0.0021375250000000004,-0.001251,0.0011930500000000006,0.002533,0.0003869711445775001,3.869711445775001e-05,0.006220700479668669,0.00037664810705197746,3.766481070519775e-05,0.006137166341659459,-5.424362377276245,33.86175790152067,0.0010004964999999998,0.006889420153157887,-0.028960999999999997,0.047394,-0.0012525249999999998,-0.0007019999999999999,0.0011015500000000008,0.0021665,0.0004846510329325,4.846510329325e-05,0.006961688250219913,0.0004746411004673775,4.746411004673775e-05,0.006889420153157866,4.659731140598889,27.75385169677649,0.004186365999999999,0.023094677024025203,-0.0043335,0.1587525,-0.0010985,-0.000763,0.0006715,0.004155099999999968,0.005508897671299999,0.0005508897671299999,0.02347104103208888,0.00533364106844044,0.000533364106844044,0.02309467702402534,5.628226112764322,30.95703832113461,0.45748053724053733,0.046276626078144305,0.15726495726495726,0.6256410256410256,0.3802075702075702,0.4014652014652015,0.512087912087912,0.5272283272283272,2.11429968075067,0.211429968075067,0.4598151455477157,0.02141526121176395,0.0021415261211763952,0.04627662607814441,-0.5379377511270117,1.8079606477749532
svolta,9,0.04323725,0.051022637377319525,-0.13275,0.6415,0.0285,0.032,0.03975,0.041512499999999994,0.04472769312499999,0.004472769312499999,0.06687876578182345,0.026033095249374992,0.002603309524937499,0.051022637377320074,7.457412947973679,65.99377153470975,-0.013856250000000002,0.05038129140303443,-0.486,0.37525,-0.0205125,-0.0165,-0.00775,-0.00625,0.027302701875,0.0027302701875000003,0.05225198740239456,0.025382745234375,0.0025382745234375,0.05038129140303472,-1.2661358791941149,43.51332072457348,-0.246641,0.029893625892487553,-0.5325,-0.02175,-0.25375,-0.25175,-0.244,-0.242,0.6172541174999999,0.061725411749999994,0.248445993628394,0.008936288689999999,0.0008936288689999998,0.02989362589248751,-0.36550424771466,42.260407831433916,-0.00085938,0.007525982524102754,-0.08551,0.0346985,-0.002293575,-0.0014955,0.0011899999999999999,0.001869124999999993,0.0005737894693750001,5.7378946937500016e-05,0.007574889235988868,0.0005664041295309999,5.664041295309999e-05,0.0075259825241027496,-5.860466282308625,53.53362254304817,0.0005235014999999998,0.009312393839435027,-0.0542295,0.092102,-0.0024750499999999995,-0.0012205,0.001071050000000001,0.0017715249999999986,0.0008699473284125,8.699473284125e-05,0.009327096699469241,0.0008672067902074775,8.672067902074775e-05,0.009312393839435043,4.629731448012347,51.26602295205148,0.0042890459999999995,0.030335239829114305,-0.025604,0.2704165,-0.0013125,-0.0009765,0.0005495,0.0011000249999999986,0.0093862269108,0.00093862269108,0.03063694976788649,0.00920226775489884,0.000920226775489884,0.030335239829114322,6.957973914639282,48.76391872099306,0.45747641025641034,0.0691722635115184,0.0017094017094017094,0.8637362637362638,0.3684981684981685,0.3941391941391941,0.5181929181929182,0.5452991452991452,2.140694679803984,0.21406946798039841,0.4626764182237932,0.04784802039306996,0.0047848020393069955,0.0691722635115188,-1.0835963931620323,11.606038213628727
svolta,10,0.040637999999999994,0.039738485200118134,-0.06075,0.437,0.01625,0.02025,0.0455,0.048,0.032305942500000004,0.0032305942500000006,0.056838316741437724,0.01579147206,0.001579147206,0.03973848520011803,6.861230533875712,55.20208244795411,0.008341000000000001,0.03513738171805069,-0.29525,0.31875,-0.005762499999999999,0.0035,0.014775000000000005,0.01675,0.01304207875,0.001304207875,0.03611381833869135,0.01234635594,0.001234635594,0.03513738171805065,-0.7020960743875262,43.04075161544413,-0.24736725,0.020791243708289726,-0.4455,-0.1345,-0.2537625,-0.251,-0.2435,-0.24125,0.616228321875,0.0616228321875,0.24823946541092132,0.0043227581493750005,0.00043227581493750005,0.020791243708289796,-3.319518247729177,43.530635729544464,-0.00011188100000000009,0.0084915233171875,-0.0920105,0.0877075,-0.0018020249999999999,-0.0013735,0.0017120500000000008,0.0033310749999999954,0.0007211848560449999,7.211848560449999e-05,0.008492260335417185,0.0007210596824633899,7.210596824633898e-05,0.0084915233171875,0.09142235352839972,61.64997372352556,-0.000253364,0.003827000671479433,-0.035888500000000004,0.032074,-0.0029020499999999998,-0.0015869999999999999,0.000885,0.0012220249999999985,0.00014710127456,1.4710127456e-05,0.0038353783980202005,0.00014645934139504,1.4645934139504e-05,0.0038270006714794286,-0.7644425692810084,41.335659881405675,0.004656688500000001,0.029110039959732478,-0.035125500000000004,0.2285155,-0.0019835,-0.001251,0.0009765,0.001981999999999974,0.0086907917424325,0.0008690791742432501,0.029480148816504473,0.008473944264572177,0.0008473944264572177,0.02911003995973241,6.212148055733959,39.04471298901812,0.4571390964590965,0.041151712625115015,0.10622710622710622,0.6786324786324787,0.39584859584859583,0.41242979242979244,0.5001221001221001,0.5142857142857142,2.106696169634192,0.21066961696341918,0.45898760001052225,0.016934634519800644,0.0016934634519800644,0.04115171262511518,-0.7665026869367171,6.579889477345674
svolta,11,0.032539500000000006,0.038697520136954495,-0.079,0.394,0.0185,0.02125,0.0315,0.03225,0.025563171250000006,0.0025563171250000006,0.050560034859560773,0.014974980647499999,0.00149749806475,0.03869752013695451,6.4835043981093525,47.093570903302734,-0.0087275,0.04208097692247635,-0.3495,0.3355,-0.0165,-0.01025,-0.002,-0.00075,0.018469778750000002,0.0018469778750000003,0.0429764804864242,0.0177080861875,0.00177080861875,0.042080976922476504,-1.9504326990700351,42.432349144282405,-0.24782749999999998,0.030082230947022517,-0.493,-0.01175,-0.254,-0.252,-0.24625,-0.2444875,0.62323410375,0.062323410375,0.24964657092577897,0.009049406187500001,0.0009049406187500001,0.03008223094702253,0.3567080213142311,39.79576833048087,-0.0005376889999999999,0.006701628391091168,-0.0805665,0.0309755,-0.00177,-0.0013125,0.0012815,0.002261549999999997,0.00045200932552999994,4.520093255299999e-05,0.0067231638796774835,0.00044911823092279004,4.4911823092279004e-05,0.006701628391091154,-7.5453031040965275,78.60446933193654,0.0008178964999999999,0.010180438361708134,-0.04187,0.1080625,-0.001526,-0.000885,0.000763,0.0010390249999999985,0.0010431027992125,0.00010431027992125,0.010213240422179927,0.0010364132523653774,0.00010364132523653774,0.010180438361708092,7.639956511878219,73.09662190989071,0.004229007999999999,0.027895304874860864,-0.012451,0.2496645,-0.0011915249999999997,-0.000641,0.0007934999999999999,0.0014360249999999985,0.007960325427255,0.0007960325427255,0.02821404867659904,0.007781480340614358,0.0007781480340614358,0.027895304874860857,7.156517753774757,52.39223115797122,0.4577573137973139,0.05714395965330716,0.010500610500610501,0.7557997557997558,0.37655677655677655,0.4,0.515018315018315,0.5357875457875456,2.128071904597912,0.21280719045979118,0.46131029737020957,0.032654321248587796,0.0032654321248587795,0.057143959653307014,-1.4632442014986622,10.292299974136744
svolta,12,0.01370325,0.04883733717083177,-0.18875,0.54125,0.0009875000000000007,0.003,0.011,0.01225,0.025728645624999994,0.0025728645624999995,0.05072341237042318,0.023850855019375002,0.0023850855019375,0.048837337170831704,6.879006749493961,56.269571784310514,0.008561500000000001,0.048183649641242464,-0.39575,0.43775,-0.0005,0.0005,0.019,0.025024999999999978,0.02394963375,0.002394963375,0.048938363019210195,0.023216640927499994,0.0023216640927499993,0.0481836496412424,1.1921454471685284,45.11128020375,-0.249937,0.02289521032880035,-0.441,-0.0115,-0.25525,-0.253525,-0.24775,-0.2459875,0.62992694625,0.062992694625,0.25098345488298623,0.005241906559999998,0.0005241906559999998,0.02289521032880021,1.1541014637318392,47.15341452571425,-0.0006943930000000001,0.009254645942176846,-0.09124750000000001,0.103607,-0.0033875000000000003,-0.0019225000000000002,0.000519,0.0009765,0.0008613065315349998,8.613065315349997e-05,0.009280660167978351,0.0008564847151505099,8.564847151505099e-05,0.00925464594217688,1.458526584267721,65.09338225140172,-0.00032336250000000006,0.0046265794773075915,-0.0427855,0.037903,-0.001985025,-0.0008545,0.0007934999999999999,0.0011899999999999999,0.00021509800966250004,2.1509800966250004e-05,0.004637865992700738,0.0002140523765984375,2.140523765984375e-05,0.004626579477307587,-2.9998993599123915,48.627336123333784,0.004636963500000001,0.03151223731930846,-0.0668335,0.281952,-0.0010069999999999999,-0.0006440499999999997,0.0007934999999999999,0.0012525249999999985,0.0101452253136875,0.0010145225313687501,0.031851570312446925,0.009930211008684178,0.0009930211008684177,0.031512237319308474,6.8852850595794255,48.86734886274101,0.457739706959707,0.057879264221694565,0.01904761904761905,0.8485958485958486,0.37875457875457874,0.4031501831501832,0.5111111111111111,0.5343101343101343,2.1287564855440313,0.21287564855440314,0.4613844910206705,0.03350009226844733,0.003350009226844733,0.057879264221694565,-0.9428020745205933,9.508468877728825
svolta,13,0.059021000000000004,0.04636214710299787,-0.098,0.5775,0.04,0.042975,0.05925,0.0625,0.05632927125,0.005632927125,0.07505282889405303,0.021494486839999997,0.002149448684,0.04636214710299772,7.4761177079166785,64.93333203361539,0.028969,0.035083704037629865,-0.29625,0.2965,0.02125,0.0245,0.036025,0.03825,0.0207006925,0.0020700692499999998,0.04549801369290751,0.01230866289,0.001230866289,0.035083704037629775,-2.698171423012482,46.87923978026022,-0.2417645,0.01844477676064407,-0.44925,-0.112,-0.2475125,-0.24575,-0.23825,-0.23575,0.5879028325,0.05879028325,0.24246707663103456,0.0034020978974999994,0.00034020978974999994,0.01844477676064419,-2.3823193801966647,55.098704798514504,-0.0008817800000000001,0.010026440858305579,-0.096405,0.0925295,-0.0022295250000000004,-0.00143755,0.000824,0.0015290499999999973,0.001013070522535,0.00010130705225350001,0.010065140448771692,0.001005295162851,0.00010052951628510001,0.010026440858305603,-2.1090736645933608,57.09456098347548,-0.0007593400000000001,0.006644339885865276,-0.081665,0.0319215,-0.002169575,-0.0011595,0.0010069999999999999,0.0014650000000000002,0.000447238497545,4.47238497545e-05,0.006687589233385974,0.00044147252518900003,4.4147252518900005e-05,0.006644339885865262,-6.860031500655979,63.70576336816313,0.004461538500000001,0.03160582130127728,-0.0283205,0.285187,-0.0019865499999999997,-0.0014039999999999999,0.000885,0.0014650000000000002,0.010188332659152501,0.0010188332659152501,0.03191916768832249,0.009989279401282677,0.0009989279401282677,0.031605821301277204,6.875171201507535,47.93262753329555,0.45750578754578763,0.04733090015644492,0.05274725274725275,0.6932844932844933,0.38997557997557997,0.41001221001221,0.5045177045177045,0.5233211233211233,2.1155175974751064,0.21155175974751064,0.4599475619540891,0.022402141096193727,0.0022402141096193725,0.047330900156445074,-0.7490971757447589,7.5144796252057855
svolta,14,0.03586675,0.05110975623046445,-0.17325,0.58675,0.02225,0.02375,0.03425,0.0355,0.03898630937500001,0.0038986309375000005,0.06243901774932082,0.026122071819375,0.0026122071819375,0.05110975623046445,7.6237522386209635,67.62119327979303,0.0035830000000000007,0.04138895216117472,-0.33025,0.439,-0.005762499999999999,0.0,0.0095,0.01125,0.017258832499999998,0.0017258832499999998,0.04154375103430118,0.017130453610000002,0.0017130453610000001,0.04138895216117461,1.1493040343211312,54.39218697809123,-0.24880625,0.026155805253088662,-0.52325,-0.0675,-0.254,-0.252,-0.24525,-0.244,0.625886761875,0.0625886761875,0.25017728951185797,0.006841261484375,0.0006841261484375,0.026155805253088655,-3.219393631673658,49.14403279351827,-0.0002945835,0.009815675286411906,-0.09475700000000001,0.07913200000000001,-0.002076525,-0.0013735,0.0010100500000000006,0.0021085499999999972,0.0009643426076675002,9.643426076675002e-05,0.009820094743267501,0.0009634748132827776,9.634748132827776e-05,0.009815675286411921,0.34826978688418997,45.65211437364235,-9.838999999999998e-05,0.0066301311687552615,-0.04657,0.053894,-0.0022890000000000002,-0.0011930499999999998,0.0009155,0.001251,0.0004396831990700001,4.396831990700001e-05,0.0066308611738596975,0.00043958639314899996,4.39586393149e-05,0.006630131168755261,1.565029038946113,37.98156285449744,0.0046741659999999996,0.03249348108922671,-0.0657045,0.2620545,-0.00131555,-0.0009155,0.0007660500000000006,0.0012220249999999985,0.010776741410915001,0.0010776741410915,0.032827947561361495,0.010558263132959439,0.0010558263132959438,0.03249348108922687,6.468652749682863,42.273597605130604,0.4576418070818072,0.05487055121539005,0.03125763125763126,0.7042735042735043,0.38461538461538464,0.4048840048840049,0.5094261294261295,0.5313919413919412,2.124468009797827,0.2124468009797827,0.4609195168137087,0.030107773906807342,0.0030107773906807344,0.05487055121538997,-1.1386368051146116,9.445207492667304
